"best_actress_year","best_actress_url","best_actress_name","best_actress_name_url","best_actress_film_name","best_actress_film_url"
"1995 (68th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=68&view=3-Award%20Category-Chron","Susan Sarandon","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7638&view=1-Nominee-Alpha","Dead Man Walking","http://awardsdatabase.oscars.org/Search/Nominations?filmId=1533&view=2-Film%20Title-Alpha"
"1996 (69th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=69&view=3-Award%20Category-Chron","Frances McDormand","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7775&view=1-Nominee-Alpha","Fargo","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3659&view=2-Film%20Title-Alpha"
"1997 (70th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=70&view=3-Award%20Category-Chron","Helen Hunt","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=7901&view=1-Nominee-Alpha","As Good as It Gets","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3730&view=2-Film%20Title-Alpha"
"1998 (71st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=71&view=3-Award%20Category-Chron","Gwyneth Paltrow","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=8032&view=1-Nominee-Alpha","Shakespeare in Love","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3828&view=2-Film%20Title-Alpha"
"1999 (72nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=72&view=3-Award%20Category-Chron","Hilary Swank","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=8179&view=1-Nominee-Alpha","Boys Don't Cry","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3855&view=2-Film%20Title-Alpha"
"2000 (73rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=73&view=3-Award%20Category-Chron","Julia Roberts","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=8300&view=1-Nominee-Alpha","Erin Brockovich","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3906&view=2-Film%20Title-Alpha"
"2001 (74th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=74&view=3-Award%20Category-Chron","Halle Berry","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=8840&view=1-Nominee-Alpha","Monster's Ball","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3990&view=2-Film%20Title-Alpha"
"2002 (75th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=75&view=3-Award%20Category-Chron","Nicole Kidman","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=8973&view=1-Nominee-Alpha","The Hours","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3585&view=2-Film%20Title-Alpha"
"2003 (76th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=76&view=3-Award%20Category-Chron","Charlize Theron","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9100&view=1-Nominee-Alpha","Monster","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4241&view=2-Film%20Title-Alpha"
"2004 (77th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=77&view=3-Award%20Category-Chron","Hilary Swank","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9210&view=1-Nominee-Alpha","Million Dollar Baby","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4031&view=2-Film%20Title-Alpha"
"2005 (78th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=78&view=3-Award%20Category-Chron","Reese Witherspoon","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9340&view=1-Nominee-Alpha","Walk the Line","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4180&view=2-Film%20Title-Alpha"
"2006 (79th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=79&view=3-Award%20Category-Chron","Helen Mirren","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=9467&view=1-Nominee-Alpha","The Queen","http://awardsdatabase.oscars.org/Search/Nominations?filmId=4042&view=2-Film%20Title-Alpha"
